name,capital,risk_profile,rank_mode,max_assets,rebalance_freq,small_account_minimum_gate_passes,small_account_executable_gate_passes,sharpe_ratio,annual_return,annual_volatility,max_drawdown,win_rate,total_return,final_nav,avg_holdings,avg_asset_exposure,avg_cash_weight,total_fees,fees_pct_initial_capital,orders,lot_blocked_targets,cash_blocked_buys,avg_oos_sharpe,min_oos_sharpe
v34_etf_balanced_momentum_50000_2asset_20d,50000.0,balanced,momentum,2,20,False,True,0.3202,0.0944,0.2167,-0.5492,0.5634,1.4017,120085.62,1.89,0.9434,0.0566,5105.88,0.1021,350,90,0,-0.1254,-1.3889
v34_etf_defensive_defensive_100000_1asset_60d,100000.0,defensive,defensive,1,60,False,True,0.32,0.0624,0.1169,-0.2676,0.6851,0.99,199001.8,1.39,0.9558,0.0442,2645.8,0.0265,60,0,0,-1.1395,-2.973
v34_etf_capital_guard_momentum_200000_1asset_40d,200000.0,capital_guard,momentum,1,40,False,True,0.3185,0.0624,0.1174,-0.3243,0.6666,0.9882,397641.64,1.47,0.9643,0.0357,6072.66,0.0304,99,0,0,-0.6438,-2.0468
v34_etf_ultra_guard_defensive_200000_3asset_40d,200000.0,ultra_guard,defensive,3,40,False,True,0.318,0.04,0.0471,-0.1816,0.7162,0.6182,323640.25,1.67,0.9589,0.0411,2233.35,0.0112,127,0,0,-0.8488,-1.4702
v34_etf_defensive_momentum_50000_1asset_60d,50000.0,defensive,momentum,1,60,False,True,0.3178,0.0745,0.1556,-0.3386,0.6012,1.1633,108165.55,1.67,0.9319,0.0681,1806.95,0.0361,82,0,0,-0.3265,-1.6537
v34_etf_capital_guard_momentum_100000_1asset_40d,100000.0,capital_guard,momentum,1,40,False,True,0.3151,0.062,0.1174,-0.3242,0.6662,0.978,197802.9,1.47,0.9512,0.0488,3082.2,0.0308,97,0,0,-0.6501,-2.0471
v34_etf_defensive_defensive_50000_1asset_60d,50000.0,defensive,defensive,1,60,False,True,0.3142,0.0617,0.1167,-0.2662,0.6851,0.9724,98618.92,1.39,0.9291,0.0709,1346.38,0.0269,59,0,0,-1.3557,-3.4807
v34_etf_ultra_guard_momentum_100000_1asset_40d,100000.0,ultra_guard,momentum,1,40,False,True,0.3139,0.0478,0.0728,-0.1979,0.6775,0.7503,175029.72,1.47,0.9419,0.0581,1883.18,0.0188,99,0,0,-0.4247,-1.2856
v34_etf_ultra_guard_defensive_50000_1asset_40d,50000.0,ultra_guard,defensive,1,40,False,True,0.3136,0.043,0.0575,-0.1966,0.7242,0.6693,83463.6,1.22,0.9258,0.0742,639.0,0.0128,60,0,0,-0.5147,-1.0318
v34_etf_defensive_momentum_200000_2asset_20d,200000.0,defensive,momentum,2,20,False,True,0.3122,0.0707,0.1464,-0.4009,0.5778,1.1009,420172.75,2.47,0.9707,0.0293,11532.55,0.0577,376,0,0,-0.4457,-1.8282
v34_etf_ultra_guard_momentum_200000_1asset_60d,200000.0,ultra_guard,momentum,1,60,False,True,0.308,0.0453,0.0659,-0.1573,0.6624,0.7061,341229.8,1.58,0.9584,0.0416,2616.9,0.0131,83,0,0,-0.1576,-0.6441
v34_etf_defensive_momentum_100000_2asset_20d,100000.0,defensive,momentum,2,20,False,True,0.3079,0.07,0.1461,-0.4006,0.5778,1.0837,208374.13,2.47,0.9582,0.0418,6043.07,0.0604,355,0,0,-0.4489,-1.8319
v34_etf_balanced_momentum_200000_3asset_60d,200000.0,balanced,momentum,3,60,False,True,0.3076,0.088,0.2048,-0.5063,0.5605,1.2897,457937.18,3.14,0.9797,0.0203,8595.22,0.043,200,0,0,0.0206,-1.272
v34_etf_balanced_momentum_100000_3asset_60d,100000.0,balanced,momentum,3,60,False,True,0.3057,0.0875,0.2046,-0.5068,0.5605,1.2775,227752.59,2.96,0.9676,0.0324,4413.81,0.0441,196,9,0,0.0181,-1.276
v34_etf_ultra_guard_momentum_100000_1asset_60d,100000.0,ultra_guard,momentum,1,60,False,True,0.3035,0.045,0.0657,-0.1564,0.6637,0.699,169895.39,1.58,0.9504,0.0496,1381.91,0.0138,80,0,0,-0.156,-0.6515
v34_etf_defensive_momentum_50000_2asset_20d,50000.0,defensive,momentum,2,20,False,True,0.3011,0.0689,0.1456,-0.3993,0.5775,1.0564,102820.42,2.47,0.9356,0.0644,3376.18,0.0675,333,0,0,-0.4539,-1.8421
v34_etf_balanced_momentum_50000_3asset_60d,50000.0,balanced,momentum,3,60,False,True,0.3006,0.0863,0.2038,-0.5076,0.5596,1.2463,112316.95,2.71,0.9393,0.0607,2341.85,0.0468,190,23,0,0.0098,-1.2983
v34_etf_ultra_guard_defensive_100000_3asset_40d,100000.0,ultra_guard,defensive,3,40,False,True,0.3005,0.0391,0.0469,-0.1818,0.7159,0.6008,160076.31,1.67,0.9376,0.0624,1306.29,0.0131,125,0,0,-0.8891,-1.5772
v34_etf_ultra_guard_risk_adjusted_50000_1asset_20d,50000.0,ultra_guard,risk_adjusted,1,20,False,True,0.3001,0.0432,0.0608,-0.1739,0.7213,0.6699,83496.34,1.28,0.8911,0.1089,926.26,0.0185,100,0,0,-0.5019,-0.993
v34_etf_ultra_guard_risk_adjusted_200000_2asset_20d,200000.0,ultra_guard,risk_adjusted,2,20,False,True,0.2967,0.0405,0.0522,-0.1671,0.7152,0.6235,324702.41,1.59,0.9514,0.0486,3493.89,0.0175,181,0,1,-0.5332,-1.1935
v34_etf_ultra_guard_defensive_200000_1asset_20d,200000.0,ultra_guard,defensive,1,20,False,True,0.2951,0.0416,0.0564,-0.175,0.7178,0.6423,328456.03,1.24,0.9515,0.0485,2969.17,0.0148,100,0,0,-0.5557,-1.1424
v34_etf_ultra_guard_momentum_50000_1asset_40d,50000.0,ultra_guard,momentum,1,40,False,True,0.2943,0.0464,0.0727,-0.1975,0.6768,0.7193,85964.42,1.47,0.8956,0.1044,1023.88,0.0205,96,0,0,-0.4487,-1.3363
v34_etf_defensive_defensive_200000_3asset_20d,200000.0,defensive,defensive,3,20,False,True,0.294,0.0559,0.105,-0.2829,0.6717,0.8656,373128.56,2.21,0.963,0.037,9538.74,0.0477,323,0,0,-0.6142,-1.9022
