date,close_count,warmup_eligible_count,close_coverage_ratio
2010-11-03,745,621,0.476038
2010-11-04,745,621,0.476038
2010-11-05,746,621,0.476677
2010-11-08,746,621,0.476677
2010-11-09,748,621,0.477955
2010-11-10,748,621,0.477955
2010-11-11,748,621,0.477955
2010-11-12,750,633,0.479233
2010-11-15,751,633,0.479872
2010-11-16,751,633,0.479872
2010-11-17,751,633,0.479872
2010-11-18,752,633,0.480511
2010-11-19,752,634,0.480511
2010-11-22,752,634,0.480511
2010-11-23,754,634,0.481789
2010-11-24,754,634,0.481789
2010-11-25,755,634,0.482428
2010-11-26,755,634,0.482428
2010-11-29,755,634,0.482428
2010-11-30,755,635,0.482428
2010-12-01,755,635,0.482428
2010-12-02,755,635,0.482428
2010-12-03,755,635,0.482428
2010-12-06,756,635,0.483067
2010-12-07,759,635,0.484984
2010-12-08,759,635,0.484984
2010-12-09,760,635,0.485623
2010-12-10,760,636,0.485623
2010-12-13,760,636,0.485623
2010-12-14,760,636,0.485623
2010-12-15,761,636,0.486262
2010-12-16,761,637,0.486262
2010-12-17,761,637,0.486262
2010-12-20,761,637,0.486262
2010-12-21,761,637,0.486262
2010-12-22,762,637,0.486901
2010-12-23,762,637,0.486901
2010-12-24,762,639,0.486901
2010-12-27,762,639,0.486901
2010-12-28,763,639,0.48754
2010-12-29,763,640,0.48754
2010-12-30,763,640,0.48754
2010-12-31,766,640,0.489457
2011-01-04,766,640,0.489457
2011-01-05,766,640,0.489457
2011-01-06,766,640,0.489457
2011-01-07,767,640,0.490096
2011-01-10,769,646,0.491374
2011-01-11,770,646,0.492013
2011-01-12,770,646,0.492013
2011-01-13,770,646,0.492013
2011-01-14,770,646,0.492013
2011-01-17,770,646,0.492013
2011-01-18,772,646,0.493291
2011-01-19,772,646,0.493291
2011-01-20,772,647,0.493291
2011-01-21,772,648,0.493291
2011-01-24,772,648,0.493291
2011-01-25,773,649,0.49393
2011-01-26,773,650,0.49393
2011-01-27,774,650,0.494569
2011-01-28,777,651,0.496486
2011-01-31,777,652,0.496486
2011-02-01,779,652,0.497764
2011-02-09,779,653,0.497764
2011-02-10,779,654,0.497764
2011-02-11,780,655,0.498403
2011-02-14,780,655,0.498403
2011-02-15,780,655,0.498403
2011-02-16,780,655,0.498403
2011-02-17,780,657,0.498403
2011-02-18,780,657,0.498403
2011-02-21,780,657,0.498403
2011-02-22,783,657,0.500319
2011-02-23,783,657,0.500319
2011-02-24,783,657,0.500319
2011-02-25,783,660,0.500319
2011-02-28,783,660,0.500319
2011-03-01,783,661,0.500319
2011-03-02,785,661,0.501597
2011-03-03,785,662,0.501597
2011-03-04,785,662,0.501597
2011-03-07,785,662,0.501597
2011-03-08,786,663,0.502236
2011-03-09,786,663,0.502236
2011-03-10,786,663,0.502236
2011-03-11,787,665,0.502875
2011-03-14,787,665,0.502875
2011-03-15,787,665,0.502875
2011-03-16,788,665,0.503514
2011-03-17,788,665,0.503514
2011-03-18,788,666,0.503514
2011-03-21,788,666,0.503514
2011-03-22,788,666,0.503514
2011-03-23,788,666,0.503514
2011-03-24,788,666,0.503514
2011-03-25,789,667,0.504153
2011-03-28,789,667,0.504153
2011-03-29,789,668,0.504153
2011-03-30,789,668,0.504153
2011-03-31,789,670,0.504153
2011-04-01,789,671,0.504153
2011-04-06,789,671,0.504153
2011-04-07,790,671,0.504792
2011-04-08,790,671,0.504792
2011-04-11,790,671,0.504792
2011-04-12,791,672,0.505431
2011-04-13,791,672,0.505431
2011-04-14,791,672,0.505431
2011-04-15,791,674,0.505431
2011-04-18,791,674,0.505431
2011-04-19,791,674,0.505431
2011-04-20,791,674,0.505431
2011-04-21,792,674,0.50607
2011-04-22,792,674,0.50607
2011-04-25,792,676,0.50607
2011-04-26,792,676,0.50607
2011-04-27,792,677,0.50607
2011-04-28,792,677,0.50607
2011-04-29,792,677,0.50607
2011-05-03,792,678,0.50607
2011-05-04,792,678,0.50607
2011-05-05,792,678,0.50607
2011-05-06,792,679,0.50607
2011-05-09,792,679,0.50607
2011-05-10,792,679,0.50607
2011-05-11,792,679,0.50607
2011-05-12,792,681,0.50607
2011-05-13,792,682,0.50607
2011-05-16,792,682,0.50607
2011-05-17,792,683,0.50607
2011-05-18,793,683,0.506709
2011-05-19,793,683,0.506709
2011-05-20,794,685,0.507348
2011-05-23,794,685,0.507348
2011-05-24,794,685,0.507348
2011-05-25,794,686,0.507348
2011-05-26,794,686,0.507348
2011-05-27,795,686,0.507987
2011-05-30,795,686,0.507987
2011-05-31,797,686,0.509265
2011-06-01,797,688,0.509265
2011-06-02,798,688,0.509904
2011-06-03,798,689,0.509904
2011-06-07,798,689,0.509904
2011-06-08,799,689,0.510543
2011-06-09,799,691,0.510543
2011-06-10,800,694,0.511182
2011-06-13,800,694,0.511182
2011-06-14,800,696,0.511182
2011-06-15,802,696,0.51246
2011-06-16,802,696,0.51246
2011-06-17,802,696,0.51246
2011-06-20,802,699,0.51246
2011-06-21,802,699,0.51246
2011-06-22,803,699,0.513099
2011-06-23,803,700,0.513099
2011-06-24,803,700,0.513099
2011-06-27,803,703,0.513099
2011-06-28,804,703,0.513738
2011-06-29,804,703,0.513738
2011-06-30,806,705,0.515016
2011-07-01,806,705,0.515016
2011-07-04,806,705,0.515016
2011-07-05,806,707,0.515016
2011-07-06,806,707,0.515016
2011-07-07,807,708,0.515655
2011-07-08,807,708,0.515655
2011-07-11,807,708,0.515655
2011-07-12,807,708,0.515655
2011-07-13,807,708,0.515655
2011-07-14,807,708,0.515655
2011-07-15,809,709,0.516933
2011-07-18,809,709,0.516933
2011-07-19,809,709,0.516933
2011-07-20,809,709,0.516933
2011-07-21,809,709,0.516933
2011-07-22,809,709,0.516933
2011-07-25,809,710,0.516933
2011-07-26,809,710,0.516933
2011-07-27,809,711,0.516933
2011-07-28,810,712,0.517572
2011-07-29,810,712,0.517572
2011-08-01,810,712,0.517572
2011-08-02,810,712,0.517572
2011-08-03,811,712,0.518211
2011-08-04,811,712,0.518211
2011-08-05,812,712,0.51885
2011-08-08,813,712,0.519489
2011-08-09,813,713,0.519489
2011-08-10,816,713,0.521406
2011-08-11,816,713,0.521406
2011-08-12,817,713,0.522045
2011-08-15,817,715,0.522045
2011-08-16,817,715,0.522045
2011-08-17,817,715,0.522045
2011-08-18,817,717,0.522045
