name,capital,universe_mode,risk_profile,rank_mode,max_assets,rebalance_freq,risk_gate_passes,small_account_minimum_gate_passes,small_account_executable_gate_passes,long_history_research_gate_passes,sharpe_ratio,annual_return,annual_volatility,max_drawdown,win_rate,total_return,final_nav,avg_holdings,avg_risky_exposure,avg_cash_weight,avg_target_budget,max_target_budget,zero_budget_rebalances,total_fees,fees_pct_initial_capital,orders,avg_oos_sharpe,min_oos_sharpe
v36_regime_core_long_aggressive_trend_100000_2asset_40d,100000.0,core_long,aggressive,trend,2,40,False,False,True,False,0.1343,0.0331,0.0603,-0.1912,0.2761,0.4733,147327.86,0.86,0.1168,0.8832,0.1164,0.6834,39,878.84,0.0088,94,-1.1494,-4.6073
v36_regime_expanded_recent_aggressive_risk_adjusted_200000_2asset_40d,200000.0,expanded_recent,aggressive,risk_adjusted,2,40,False,False,True,False,0.1159,0.033,0.0686,-0.1913,0.3094,0.4607,292142.44,0.85,0.1214,0.8786,0.1224,0.7999,34,1920.56,0.0096,109,-1.6935,-4.0684
v36_regime_expanded_recent_aggressive_risk_adjusted_100000_2asset_40d,100000.0,expanded_recent,aggressive,risk_adjusted,2,40,False,False,True,False,0.1153,0.0329,0.0685,-0.1908,0.3043,0.4599,145986.43,0.81,0.1192,0.8808,0.1224,0.7999,34,1083.47,0.0108,104,-1.7065,-4.1153
v36_regime_expanded_recent_aggressive_risk_adjusted_50000_2asset_40d,50000.0,expanded_recent,aggressive,risk_adjusted,2,40,False,False,True,False,0.0987,0.0318,0.0693,-0.1902,0.3033,0.4399,71995.43,0.8,0.119,0.881,0.1263,0.7999,32,779.97,0.0156,104,-1.758,-4.1164
v36_regime_core_long_aggressive_risk_adjusted_200000_1asset_40d,200000.0,core_long,aggressive,risk_adjusted,1,40,False,False,False,False,0.061,0.0284,0.0564,-0.1915,0.049,0.3947,278932.2,0.09,0.037,0.963,0.0353,0.7001,72,514.7,0.0026,11,0.0,0.0
v36_regime_expanded_recent_aggressive_risk_adjusted_200000_1asset_40d,200000.0,expanded_recent,aggressive,risk_adjusted,1,40,False,False,False,False,0.061,0.0284,0.0564,-0.1915,0.049,0.3947,278932.2,0.09,0.037,0.963,0.0353,0.7001,72,514.7,0.0026,11,0.0,0.0
v36_regime_core_long_aggressive_risk_adjusted_100000_1asset_40d,100000.0,core_long,aggressive,risk_adjusted,1,40,False,False,False,False,0.0609,0.0284,0.0564,-0.1916,0.049,0.3946,139460.41,0.09,0.037,0.963,0.0353,0.7001,72,259.79,0.0026,11,0.0,0.0
v36_regime_expanded_recent_aggressive_risk_adjusted_100000_1asset_40d,100000.0,expanded_recent,aggressive,risk_adjusted,1,40,False,False,False,False,0.0609,0.0284,0.0564,-0.1916,0.049,0.3946,139460.41,0.09,0.037,0.963,0.0353,0.7001,72,259.79,0.0026,11,0.0,0.0
v36_regime_core_long_aggressive_risk_adjusted_50000_1asset_40d,50000.0,core_long,aggressive,risk_adjusted,1,40,False,False,False,False,0.0586,0.0283,0.0561,-0.1898,0.049,0.3923,69615.81,0.09,0.0368,0.9632,0.0353,0.7001,72,136.19,0.0027,11,0.0,0.0
v36_regime_expanded_recent_aggressive_risk_adjusted_50000_1asset_40d,50000.0,expanded_recent,aggressive,risk_adjusted,1,40,False,False,False,False,0.0586,0.0283,0.0561,-0.1898,0.049,0.3923,69615.81,0.09,0.0368,0.9632,0.0353,0.7001,72,136.19,0.0027,11,0.0,0.0
