name,capital,risk_profile,rank_mode,max_assets,rebalance_freq,target_vol,daily_var_limit,risk_gate_passes,small_account_minimum_gate_passes,small_account_executable_gate_passes,sharpe_ratio,annual_return,annual_volatility,max_drawdown,win_rate,total_return,final_nav,avg_holdings,avg_risky_exposure,avg_cash_weight,avg_target_budget,max_target_budget,zero_budget_rebalances,total_fees,fees_pct_initial_capital,orders,avg_oos_sharpe,min_oos_sharpe
v35_risk_budget_conservative_var_risk_adjusted_50000_1asset_20d_vol0.04_var0.012,50000.0,conservative_var,risk_adjusted,1,20,0.04,0.012,True,False,True,-1.4069,0.0078,0.0122,-0.0184,0.2675,0.1003,55016.24,0.5,0.0395,0.9605,0.0416,0.2005,77,563.56,0.0113,95,-2.1474,-4.9225
v35_risk_budget_conservative_var_risk_adjusted_50000_1asset_20d_vol0.04_var0.016,50000.0,conservative_var,risk_adjusted,1,20,0.04,0.016,True,False,True,-1.4069,0.0078,0.0122,-0.0184,0.2675,0.1003,55016.24,0.5,0.0395,0.9605,0.0416,0.2005,77,563.56,0.0113,95,-2.1474,-4.9225
v35_risk_budget_conservative_var_risk_adjusted_50000_2asset_40d_vol0.04_var0.008,50000.0,conservative_var,risk_adjusted,2,40,0.04,0.008,True,False,True,-1.4393,0.0072,0.0124,-0.0224,0.2892,0.0925,54625.05,0.82,0.0422,0.9578,0.0442,0.2005,36,564.05,0.0113,99,-4.3226,-13.8763
v35_risk_budget_conservative_var_risk_adjusted_50000_2asset_40d_vol0.04_var0.012,50000.0,conservative_var,risk_adjusted,2,40,0.04,0.012,True,False,True,-1.4393,0.0072,0.0124,-0.0224,0.2892,0.0925,54625.05,0.82,0.0422,0.9578,0.0442,0.2005,36,564.05,0.0113,99,-4.3226,-13.8763
v35_risk_budget_conservative_var_risk_adjusted_50000_2asset_40d_vol0.04_var0.016,50000.0,conservative_var,risk_adjusted,2,40,0.04,0.016,True,False,True,-1.4393,0.0072,0.0124,-0.0224,0.2892,0.0925,54625.05,0.82,0.0422,0.9578,0.0442,0.2005,36,564.05,0.0113,99,-4.3226,-13.8763
v35_risk_budget_conservative_var_risk_adjusted_100000_2asset_20d_vol0.04_var0.008,100000.0,conservative_var,risk_adjusted,2,20,0.04,0.008,True,False,True,-1.4483,0.0071,0.0124,-0.0234,0.2912,0.0909,109088.71,0.81,0.0427,0.9573,0.0439,0.2005,71,1031.59,0.0103,167,-2.4013,-5.0832
v35_risk_budget_conservative_var_risk_adjusted_100000_2asset_20d_vol0.04_var0.012,100000.0,conservative_var,risk_adjusted,2,20,0.04,0.012,True,False,True,-1.4483,0.0071,0.0124,-0.0234,0.2912,0.0909,109088.71,0.81,0.0427,0.9573,0.0439,0.2005,71,1031.59,0.0103,167,-2.4013,-5.0832
v35_risk_budget_conservative_var_risk_adjusted_100000_2asset_20d_vol0.04_var0.016,100000.0,conservative_var,risk_adjusted,2,20,0.04,0.016,True,False,True,-1.4483,0.0071,0.0124,-0.0234,0.2912,0.0909,109088.71,0.81,0.0427,0.9573,0.0439,0.2005,71,1031.59,0.0103,167,-2.4013,-5.0832
v35_risk_budget_ultra_var_risk_adjusted_50000_1asset_20d_vol0.06_var0.008,50000.0,ultra_var,risk_adjusted,1,20,0.06,0.008,True,False,True,-1.4757,0.0061,0.0128,-0.0327,0.2329,0.077,53848.61,0.44,0.0341,0.9659,0.036,0.2149,86,532.59,0.0107,90,-3.0506,-8.4789
v35_risk_budget_ultra_var_risk_adjusted_50000_1asset_20d_vol0.06_var0.012,50000.0,ultra_var,risk_adjusted,1,20,0.06,0.012,True,False,True,-1.4757,0.0061,0.0128,-0.0327,0.2329,0.077,53848.61,0.44,0.0341,0.9659,0.036,0.2149,86,532.59,0.0107,90,-3.0506,-8.4789
